# ============================================================
# DATABASE OPPO (ColorOS)
# Format: package|nama aplikasi|risk
# ============================================================

com.heytap.market|App Market OPPO|recommended
com.heytap.browser|HeyTap Browser|recommended
com.heytap.music|HeyTap Music|safe
com.coloros.video|Video ColorOS|safe
com.coloros.gallery3d|Galeri ColorOS|advanced
com.coloros.weather2|Cuaca ColorOS|safe
com.coloros.weather.service|Layanan Cuaca|safe
com.coloros.calculator|Kalkulator|safe
com.coloros.compass2|Kompas|safe
com.coloros.soundrecorder|Perekam Suara|safe
com.coloros.backuprestore|Backup & Restore|advanced
com.oppo.quicksearchbox|Pencarian Cepat OPPO|safe
com.oppo.market|OPPO Market (lama)|recommended
com.nearme.gamecenter|Game Center|recommended
com.nearme.atlas|HeyTap Pay|safe
com.heytap.cloud|HeyTap Cloud|advanced
com.coloros.findmyphone|Find My Phone|advanced
com.coloros.opporadio|Radio FM|safe
com.coloros.childrenspace|Mode Anak|safe
com.facebook.katana|Facebook (bawaan)|recommended
com.coloros.assistantscreen|Asisten Layar (Shelf)|recommended
